,RMSE,AUC,TjurR2,Species
18,0.17,0.98,0.45,Horse
27,0.18,0.97,0.34,Pilotbird
26,0.14,0.95,0.17,Pig
33,0.15,0.93,0.11,Spot.tailed.Quoll
14,0.25,0.92,0.20,Eastern.Yellow.Robin
37,0.26,0.92,0.25,White.browed.Scrubwren
12,0.14,0.92,0.07,Eastern.Pygmy.possum
15,0.18,0.91,0.19,European.Rabbit
23,0.15,0.91,0.08,Long.nosed.Potoroo
11,0.18,0.91,0.17,Eastern.Grey.Kangaroo
39,0.18,0.89,0.16,White.winged.Chough
13,0.18,0.88,0.10,Eastern.Whipbird
21,0.35,0.87,0.31,Long.footed.Potoroo
2,0.31,0.86,0.22,Bassian.Thrush
28,0.29,0.86,0.20,Red.necked.Wallaby
35,0.25,0.85,0.12,Superb.Fairy.wren
29,0.27,0.83,0.16,Red.Fox
6,0.39,0.83,0.29,Common.Brushtail.Possum
31,0.20,0.83,0.07,Satin.Bowerbird
24,0.41,0.82,0.25,Mountain.Brushtail.Possum
40,0.31,0.82,0.11,Wonga.Pigeon
38,0.20,0.81,0.05,White.throated.Treecreeper
34,0.23,0.79,0.07,Spotted.Quail.thrush
19,0.35,0.79,0.12,Lace.Monitor
10,0.27,0.79,0.08,Dusky.Antechinus
1,0.38,0.78,0.16,Agile.Antechinus
36,0.44,0.78,0.20,Superb.Lyrebird
4,0.18,0.77,0.04,Bush.Rat
7,0.14,0.77,0.02,Common.Ringtail.Possum
9,0.24,0.76,0.07,Dog
30,0.27,0.76,0.08,Sambar
22,0.35,0.76,0.10,Long.nosed.Bandicoot
17,0.39,0.75,0.08,Grey.Shrike.thrush
25,0.30,0.72,0.05,Pied.Currawong
16,0.18,0.72,0.02,Grey.Currawong
32,0.35,0.72,0.07,Short.beaked.Echidna
3,0.45,0.70,0.10,Black.Wallaby
5,0.46,0.68,0.06,Cat
8,0.49,0.62,0.03,Common.Wombat
20,0.20,0.61,0.01,Laughing.Kookaburra
