"filename" "weight" "name"
"C:/Users/geary/OneDrive - The University of Melbourne/Research/Projects/2023/EastGippsland_FireRefuges/Data_Clean/SDMs/10yearspostfire_Agile.Antechinus.tif" 1 "Agile.Antechinus"
"C:/Users/geary/OneDrive - The University of Melbourne/Research/Projects/2023/EastGippsland_FireRefuges/Data_Clean/SDMs/10yearspostfire_Bassian.Thrush.tif" 1 "Bassian.Thrush"
"C:/Users/geary/OneDrive - The University of Melbourne/Research/Projects/2023/EastGippsland_FireRefuges/Data_Clean/SDMs/10yearspostfire_Black.Wallaby.tif" 1 "Black.Wallaby"
"C:/Users/geary/OneDrive - The University of Melbourne/Research/Projects/2023/EastGippsland_FireRefuges/Data_Clean/SDMs/10yearspostfire_Bush.Rat.tif" 1 "Bush.Rat"
"C:/Users/geary/OneDrive - The University of Melbourne/Research/Projects/2023/EastGippsland_FireRefuges/Data_Clean/SDMs/10yearspostfire_Common.Brushtail.Possum.tif" 1 "Common.Brushtail.Possum"
"C:/Users/geary/OneDrive - The University of Melbourne/Research/Projects/2023/EastGippsland_FireRefuges/Data_Clean/SDMs/10yearspostfire_Common.Ringtail.Possum.tif" 1 "Common.Ringtail.Possum"
"C:/Users/geary/OneDrive - The University of Melbourne/Research/Projects/2023/EastGippsland_FireRefuges/Data_Clean/SDMs/10yearspostfire_Common.Wombat.tif" 1 "Common.Wombat"
"C:/Users/geary/OneDrive - The University of Melbourne/Research/Projects/2023/EastGippsland_FireRefuges/Data_Clean/SDMs/10yearspostfire_Dog.tif" 1 "Dog"
"C:/Users/geary/OneDrive - The University of Melbourne/Research/Projects/2023/EastGippsland_FireRefuges/Data_Clean/SDMs/10yearspostfire_Dusky.Antechinus.tif" 1 "Dusky.Antechinus"
"C:/Users/geary/OneDrive - The University of Melbourne/Research/Projects/2023/EastGippsland_FireRefuges/Data_Clean/SDMs/10yearspostfire_Eastern.Grey.Kangaroo.tif" 1 "Eastern.Grey.Kangaroo"
"C:/Users/geary/OneDrive - The University of Melbourne/Research/Projects/2023/EastGippsland_FireRefuges/Data_Clean/SDMs/10yearspostfire_Eastern.Pygmy.possum.tif" 1 "Eastern.Pygmy.possum"
"C:/Users/geary/OneDrive - The University of Melbourne/Research/Projects/2023/EastGippsland_FireRefuges/Data_Clean/SDMs/10yearspostfire_Eastern.Whipbird.tif" 1 "Eastern.Whipbird"
"C:/Users/geary/OneDrive - The University of Melbourne/Research/Projects/2023/EastGippsland_FireRefuges/Data_Clean/SDMs/10yearspostfire_Eastern.Yellow.Robin.tif" 1 "Eastern.Yellow.Robin"
"C:/Users/geary/OneDrive - The University of Melbourne/Research/Projects/2023/EastGippsland_FireRefuges/Data_Clean/SDMs/10yearspostfire_Grey.Currawong.tif" 1 "Grey.Currawong"
"C:/Users/geary/OneDrive - The University of Melbourne/Research/Projects/2023/EastGippsland_FireRefuges/Data_Clean/SDMs/10yearspostfire_Grey.Shrike.thrush.tif" 1 "Grey.Shrike.thrush"
"C:/Users/geary/OneDrive - The University of Melbourne/Research/Projects/2023/EastGippsland_FireRefuges/Data_Clean/SDMs/10yearspostfire_Lace.Monitor.tif" 1 "Lace.Monitor"
"C:/Users/geary/OneDrive - The University of Melbourne/Research/Projects/2023/EastGippsland_FireRefuges/Data_Clean/SDMs/10yearspostfire_Laughing.Kookaburra.tif" 1 "Laughing.Kookaburra"
"C:/Users/geary/OneDrive - The University of Melbourne/Research/Projects/2023/EastGippsland_FireRefuges/Data_Clean/SDMs/10yearspostfire_Long.footed.Potoroo.tif" 1 "Long.footed.Potoroo"
"C:/Users/geary/OneDrive - The University of Melbourne/Research/Projects/2023/EastGippsland_FireRefuges/Data_Clean/SDMs/10yearspostfire_Long.nosed.Bandicoot.tif" 1 "Long.nosed.Bandicoot"
"C:/Users/geary/OneDrive - The University of Melbourne/Research/Projects/2023/EastGippsland_FireRefuges/Data_Clean/SDMs/10yearspostfire_Long.nosed.Potoroo.tif" 1 "Long.nosed.Potoroo"
"C:/Users/geary/OneDrive - The University of Melbourne/Research/Projects/2023/EastGippsland_FireRefuges/Data_Clean/SDMs/10yearspostfire_Mountain.Brushtail.Possum.tif" 1 "Mountain.Brushtail.Possum"
"C:/Users/geary/OneDrive - The University of Melbourne/Research/Projects/2023/EastGippsland_FireRefuges/Data_Clean/SDMs/10yearspostfire_Pied.Currawong.tif" 1 "Pied.Currawong"
"C:/Users/geary/OneDrive - The University of Melbourne/Research/Projects/2023/EastGippsland_FireRefuges/Data_Clean/SDMs/10yearspostfire_Pilotbird.tif" 1 "Pilotbird"
"C:/Users/geary/OneDrive - The University of Melbourne/Research/Projects/2023/EastGippsland_FireRefuges/Data_Clean/SDMs/10yearspostfire_Red.necked.Wallaby.tif" 1 "Red.necked.Wallaby"
"C:/Users/geary/OneDrive - The University of Melbourne/Research/Projects/2023/EastGippsland_FireRefuges/Data_Clean/SDMs/10yearspostfire_Satin.Bowerbird.tif" 1 "Satin.Bowerbird"
"C:/Users/geary/OneDrive - The University of Melbourne/Research/Projects/2023/EastGippsland_FireRefuges/Data_Clean/SDMs/10yearspostfire_Short.beaked.Echidna.tif" 1 "Short.beaked.Echidna"
"C:/Users/geary/OneDrive - The University of Melbourne/Research/Projects/2023/EastGippsland_FireRefuges/Data_Clean/SDMs/10yearspostfire_Spot.tailed.Quoll.tif" 1 "Spot.tailed.Quoll"
"C:/Users/geary/OneDrive - The University of Melbourne/Research/Projects/2023/EastGippsland_FireRefuges/Data_Clean/SDMs/10yearspostfire_Spotted.Quail.thrush.tif" 1 "Spotted.Quail.thrush"
"C:/Users/geary/OneDrive - The University of Melbourne/Research/Projects/2023/EastGippsland_FireRefuges/Data_Clean/SDMs/10yearspostfire_Superb.Fairy.wren.tif" 1 "Superb.Fairy.wren"
